,x_input
11,"[20.38032913, 20.38032913, 20.60757637, 21.2069931, 21.2069931, 19.11065865, 20.02425957, 20.95668602, 22.43070984, 22.43070984, 17.92608833, 22.14455795, 19.44789696, 22.14455795, 22.43070984, 21.2069931, 19.11065865, 21.73893356, 23.24478531, 22.14455795, 21.73893356, 19.44789696, 22.58367538, 21.48709679, 23.24478531]"
12,"[20.95668602, 21.99962807, 21.73893356, 21.2069931, 22.14455795, 18.66036797, 21.48709679, 21.73893356, 22.58367538, 21.99962807, 19.67300034, 21.73893356, 22.14455795, 22.14455795, 21.99962807, 20.95668602, 19.67300034, 21.48709679, 21.99962807, 22.14455795, 21.48709679, 19.44789696, 22.58367538, 21.99962807, 22.43070984]"
13,"[21.2069931, 21.99962807, 21.73893356, 21.2069931, 20.38032913, 17.52749443, 22.58367538, 21.2069931, 22.7505455, 21.2069931, 19.11065865, 23.24478531, 20.38032913, 22.14455795, 21.2069931, 19.44789696, 17.92608833, 21.73893356, 21.48709679, 21.73893356, 20.95668602, 17.52749443, 22.7505455, 20.95668602, 22.43070984]"
14,"[19.44789696, 20.60757637, 20.02425957, 20.95668602, 20.95668602, 16.13122177, 21.73893356, 20.02425957, 20.95668602, 20.60757637, 18.66036797, 22.14455795, 20.38032913, 22.14455795, 20.02425957, 19.67300034, 16.13122177, 20.60757637, 20.38032913, 20.60757637, 19.67300034, 17.52749443, 21.2069931, 20.95668602, 21.99962807]"
15,"[18.66036797, 20.60757637, 19.67300034, 20.02425957, 19.67300034, 17.92608833, 21.48709679, 18.29987717, 20.60757637, 20.38032913, 18.66036797, 22.14455795, 20.02425957, 22.43070984, 20.95668602, 19.44789696, 14.97896194, 20.38032913, 20.60757637, 20.60757637, 20.02425957, 15.49854279, 22.58367538, 20.02425957, 21.2069931]"
16,"[19.44789696, 20.02425957, 19.44789696, 20.02425957, 20.02425957, 14.97896194, 20.38032913, 19.44789696, 20.02425957, 19.67300034, 19.44789696, 20.95668602, 17.52749443, 21.99962807, 20.02425957, 19.44789696, 16.97096062, 19.67300034, 19.44789696, 20.60757637, 23.07037735, 15.49854279, 21.99962807, 19.67300034, 21.2069931]"
17,"[18.66036797, 19.44789696, 18.29987717, 21.48709679, 19.44789696, 14.97896194, 21.2069931, 16.97096062, 19.44789696, 20.38032913, 13.60912609, 21.73893356, 17.52749443, 21.2069931, 19.11065865, 19.11065865, 14.97896194, 19.44789696, 18.66036797, 20.02425957, 20.38032913, 14.97896194, 21.2069931, 18.29987717, 20.60757637]"
18,"[18.29987717, 19.44789696, 18.29987717, 21.48709679, 18.29987717, 14.97896194, 20.95668602, 17.92608833, 18.66036797, 19.44789696, 17.92608833, 19.44789696, 16.13122177, 20.02425957, 19.11065865, 18.66036797, 14.36518764, 18.29987717, 20.38032913, 19.67300034, 19.11065865, 14.36518764, 20.02425957, 19.44789696, 20.02425957]"
19,"[16.13122177, 17.52749443, 16.97096062, 17.92608833, 16.97096062, 13.60912609, 15.49854279, 14.36518764, 16.13122177, 17.52749443, 16.65029907, 16.13122177, 14.97896194, 17.92608833, 19.44789696, 17.52749443, 14.36518764, 17.92608833, 96.00675964, 19.67300034, 19.67300034, 15.49854279, 18.66036797, 16.13122177, 18.66036797]"
20,"[16.13122177, 17.92608833, 17.52749443, 17.52749443, 16.97096062, 15.49854279, 14.97896194, 14.36518764, 16.65029907, 17.52749443, 17.52749443, 18.29987717, 16.13122177, 19.11065865, 18.66036797, 17.92608833, 11.90395355, 18.29987717, 17.52749443, 19.44789696, 17.52749443, 11.90395355, 18.29987717, 18.29987717, 17.92608833]"
21,"[16.13122177, 17.52749443, 16.97096062, 17.52749443, 16.97096062, 14.97896194, 19.11065865, 16.65029907, 17.52749443, 17.52749443, 13.60912609, 18.29987717, 17.52749443, 18.66036797, 18.66036797, 17.52749443, 13.1276722, 17.52749443, 17.92608833, 18.29987717, 18.29987717, 11.90395355, 18.29987717, 16.65029907, 17.52749443]"
22,"[16.97096062, 16.97096062, 18.29987717, 17.92608833, 19.44789696, 15.49854279, 17.92608833, 14.36518764, 16.65029907, 17.52749443, 17.52749443, 18.66036797, 16.97096062, 19.44789696, 18.66036797, 18.66036797, 14.36518764, 18.29987717, 17.92608833, 19.11065865, 19.11065865, 12.58529663, 19.11065865, 17.92608833, 17.52749443]"
23,"[16.97096062, 17.92608833, 16.97096062, 16.97096062, 19.11065865, 13.60912609, 18.66036797, 16.13122177, 17.92608833, 17.52749443, 18.29987717, 17.92608833, 16.65029907, 19.67300034, 18.66036797, 18.29987717, 13.1276722, 17.52749443, 18.29987717, 19.11065865, 18.66036797, 14.97896194, 19.11065865, 17.92608833, 18.29987717]"
24,"[16.97096062, 17.92608833, 17.92608833, 16.97096062, 19.11065865, 14.36518764, 17.92608833, 16.65029907, 17.92608833, 16.97096062, 16.13122177, 16.97096062, 16.13122177, 20.95668602, 19.11065865, 17.52749443, 14.36518764, 17.52749443, 18.29987717, 19.44789696, 17.92608833, 14.97896194, 19.11065865, 16.97096062, 17.92608833]"
25,"[17.52749443, 18.29987717, 16.97096062, 16.65029907, 19.11065865, 14.97896194, 19.44789696, 16.65029907, 17.92608833, 17.92608833, 16.97096062, 17.92608833, 17.52749443, 20.60757637, 18.66036797, 17.92608833, 13.1276722, 17.52749443, 19.44789696, 19.11065865, 19.11065865, 14.97896194, 17.92608833, 19.44789696, 19.67300034]"
26,"[17.92608833, 18.66036797, 16.13122177, 17.92608833, 16.97096062, 15.49854279, 16.97096062, 17.92608833, 19.44789696, 18.66036797, 16.65029907, 18.66036797, 16.65029907, 21.73893356, 19.11065865, 18.66036797, 13.1276722, 17.92608833, 17.52749443, 19.67300034, 19.11065865, 11.90395355, 18.66036797, 17.52749443, 19.67300034]"
27,"[16.97096062, 17.92608833, 16.65029907, 17.52749443, 18.66036797, 16.65029907, 18.29987717, 18.29987717, 19.44789696, 19.11065865, 17.92608833, 18.29987717, 17.52749443, 20.02425957, 19.44789696, 18.66036797, 14.36518764, 18.29987717, 18.29987717, 18.66036797, 18.66036797, 11.90395355, 18.66036797, 18.29987717, 20.60757637]"
28,"[17.92608833, 18.66036797, 17.52749443, 18.66036797, 19.67300034, 17.52749443, 20.38032913, 20.02425957, 21.48709679, 19.67300034, 18.66036797, 19.67300034, 20.38032913, 20.95668602, 19.67300034, 20.95668602, 18.66036797, 19.44789696, 20.38032913, 19.67300034, 20.60757637, 13.1276722, 21.2069931, 18.29987717, 21.73893356]"
29,"[18.29987717, 19.11065865, 17.52749443, 18.29987717, 20.38032913, 19.11065865, 21.2069931, 21.73893356, 22.7505455, 20.38032913, 19.11065865, 19.44789696, 21.2069931, 21.73893356, 20.60757637, 23.57733917, 19.11065865, 22.43070984, 21.73893356, 19.11065865, 21.73893356, 13.1276722, 23.24478531, 21.99962807, 22.14455795]"
30,"[18.66036797, 18.66036797, 16.13122177, 19.67300034, 20.60757637, 16.97096062, 23.75177002, 21.99962807, 22.7505455, 19.67300034, 20.60757637, 21.2069931, 23.07037735, 21.48709679, 19.44789696, 19.67300034, 14.97896194, 22.14455795, 21.2069931, 19.44789696, 20.60757637, 16.65029907, 22.7505455, 23.24478531, 21.48709679]"
31,"[20.02425957, 20.02425957, 20.02425957, 19.11065865, 19.11065865, 16.13122177, 23.41802979, 21.73893356, 22.7505455, 18.29987717, 19.44789696, 23.07037735, 22.7505455, 22.7505455, 20.60757637, 19.44789696, 15.49854279, 21.2069931, 20.95668602, 20.38032913, 20.38032913, 16.65029907, 24.13765717, 22.43070984, 22.58367538]"
32,"[17.92608833, 19.67300034, 18.66036797, 19.11065865, 20.38032913, 18.29987717, 22.58367538, 21.48709679, 21.2069931, 19.67300034, 18.29987717, 23.57733917, 21.2069931, 22.43070984, 21.2069931, 20.02425957, 17.52749443, 21.2069931, 20.60757637, 20.02425957, 20.38032913, 16.13122177, 20.38032913, 19.11065865, 21.99962807]"
33,"[19.11065865, 19.44789696, 19.67300034, 18.66036797, 20.38032913, 18.66036797, 18.66036797, 18.66036797, 20.60757637, 21.73893356, 16.65029907, 22.14455795, 20.02425957, 21.2069931, 21.73893356, 20.02425957, 17.52749443, 21.48709679, 21.2069931, 8.00335217, 20.38032913, 14.97896194, 20.38032913, 17.52749443, 22.43070984]"
34,"[19.11065865, 21.2069931, 20.60757637, 17.92608833, 20.02425957, 14.36518764, 20.95668602, 19.44789696, 20.95668602, 20.95668602, 15.49854279, 20.95668602, 17.52749443, 11.90395355, 19.67300034, 18.66036797, 14.36518764, 20.02425957, 19.11065865, 8.96981144, 18.66036797, 15.49854279, 20.60757637, 17.92608833, 20.95668602]"
35,"[19.67300034, 20.02425957, 18.29987717, 16.97096062, 17.52749443, 96.00675964, 20.95668602, 18.66036797, 21.48709679, 19.67300034, 17.52749443, 19.67300034, 17.52749443, 19.44789696, 20.60757637, 19.11065865, 18.66036797, 20.38032913, 20.38032913, 17.52749443, 21.2069931, 13.60912609, 16.97096062, 16.13122177, 21.99962807]"
36,"[17.92608833, 19.11065865, 17.92608833, 16.13122177, 16.65029907, 20.38032913, 19.11065865, 16.97096062, 19.44789696, 18.29987717, 16.65029907, 18.66036797, 16.65029907, 19.67300034, 21.99962807, 20.38032913, 18.66036797, 21.48709679, 21.2069931, 22.58367538, 22.43070984, 13.60912609, 13.1276722, 17.92608833, 19.67300034]"
37,"[17.52749443, 18.66036797, 8.00335217, 16.13122177, 18.66036797, 20.02425957, 19.44789696, 15.49854279, 18.29987717, 18.29987717, 15.49854279, 20.02425957, 17.52749443, 20.02425957, 21.99962807, 19.67300034, 18.66036797, 21.99962807, 21.73893356, 22.58367538, 20.60757637, 15.49854279, 24.34340096, 18.66036797, 18.29987717]"
38,"[20.60757637, 20.60757637, 14.36518764, 17.52749443, 19.11065865, 20.38032913, 20.38032913, 19.44789696, 18.66036797, 17.92608833, 16.13122177, 18.66036797, 18.29987717, 20.38032913, 20.60757637, 20.60757637, 17.92608833, 20.38032913, 20.60757637, 21.73893356, 20.38032913, 15.49854279, 22.43070984, 19.67300034, 19.67300034]"
39,"[21.2069931, 20.60757637, 19.67300034, 21.48709679, 21.2069931, 20.38032913, 20.60757637, 19.11065865, 20.60757637, 19.44789696, 17.52749443, 18.66036797, 19.44789696, 20.95668602, 20.60757637, 21.2069931, 19.11065865, 21.99962807, 22.58367538, 21.2069931, 22.14455795, 15.49854279, 22.14455795, 20.60757637, 20.38032913]"
40,"[21.2069931, 21.2069931, 20.38032913, 21.48709679, 22.43070984, 21.2069931, 21.2069931, 20.02425957, 21.2069931, 20.95668602, 18.66036797, 20.38032913, 20.95668602, 21.99962807, 21.73893356, 21.2069931, 18.66036797, 20.60757637, 23.24478531, 21.73893356, 22.14455795, 16.13122177, 21.99962807, 21.2069931, 21.2069931]"
41,"[21.99962807, 21.99962807, 21.48709679, 21.48709679, 23.57733917, 23.07037735, 22.14455795, 20.95668602, 22.58367538, 21.2069931, 18.66036797, 21.99962807, 21.2069931, 23.57733917, 22.7505455, 21.48709679, 20.60757637, 21.99962807, 23.75177002, 21.73893356, 24.67446136, 18.29987717, 23.24478531, 21.73893356, 21.99962807]"
42,"[21.2069931, 22.14455795, 21.73893356, 20.60757637, 24.34340096, 23.07037735, 23.07037735, 21.48709679, 23.07037735, 21.48709679, 21.73893356, 21.73893356, 96.00675964, 23.24478531, 22.14455795, 21.48709679, 22.14455795, 21.73893356, 22.7505455, 22.14455795, 23.41802979, 18.66036797, 22.58367538, 22.14455795, 22.43070984]"
43,"[21.48709679, 21.73893356, 20.95668602, 21.99962807, 23.57733917, 21.2069931, 21.2069931, 21.2069931, 23.24478531, 22.58367538, 20.60757637, 22.43070984, 20.60757637, 23.94645309, 21.99962807, 20.38032913, 18.29987717, 21.99962807, 22.14455795, 22.58367538, 23.75177002, 18.66036797, 22.14455795, 22.7505455, 22.43070984]"
44,"[19.11065865, 18.66036797, 17.92608833, 20.02425957, 19.11065865, 20.38032913, 18.66036797, 21.48709679, 19.67300034, 21.2069931, 20.02425957, 20.95668602, 20.95668602, 23.07037735, 19.67300034, 17.52749443, 15.49854279, 18.29987717, 17.92608833, 20.38032913, 17.92608833, 16.13122177, 19.67300034, 19.11065865, 23.57733917]"
45,"[18.29987717, 19.44789696, 18.29987717, 20.02425957, 21.48709679, 19.44789696, 18.29987717, 20.95668602, 19.67300034, 20.02425957, 18.66036797, 19.67300034, 19.67300034, 20.60757637, 19.44789696, 17.92608833, 16.13122177, 18.29987717, 20.38032913, 19.11065865, 16.65029907, 14.97896194, 19.44789696, 18.29987717, 22.7505455]"
46,"[19.44789696, 20.95668602, 19.11065865, 19.11065865, 20.38032913, 18.29987717, 19.67300034, 21.2069931, 20.60757637, 19.67300034, 17.92608833, 20.02425957, 20.38032913, 21.2069931, 19.44789696, 17.52749443, 14.36518764, 17.92608833, 19.67300034, 19.44789696, 18.29987717, 14.97896194, 19.44789696, 21.48709679, 21.99962807]"
47,"[19.11065865, 20.02425957, 18.66036797, 17.92608833, 19.67300034, 20.02425957, 18.29987717, 21.2069931, 19.44789696, 19.44789696, 18.66036797, 19.11065865, 16.65029907, 20.95668602, 18.66036797, 17.52749443, 14.36518764, 17.92608833, 20.60757637, 19.11065865, 19.44789696, 14.97896194, 20.60757637, 21.73893356, 22.58367538]"
48,"[19.11065865, 20.02425957, 19.44789696, 16.97096062, 20.38032913, 19.44789696, 19.44789696, 19.44789696, 19.67300034, 19.44789696, 15.49854279, 19.67300034, 17.92608833, 22.14455795, 17.92608833, 17.52749443, 13.60912609, 18.29987717, 19.11065865, 19.67300034, 18.29987717, 14.36518764, 21.73893356, 20.02425957, 22.7505455]"
49,"[18.66036797, 20.02425957, 19.11065865, 17.92608833, 20.38032913, 20.38032913, 20.38032913, 20.60757637, 19.67300034, 19.44789696, 18.29987717, 18.66036797, 18.29987717, 21.99962807, 18.66036797, 17.92608833, 13.1276722, 17.52749443, 19.11065865, 19.11065865, 16.65029907, 13.60912609, 20.95668602, 21.2069931, 23.41802979]"
50,"[17.92608833, 19.44789696, 17.92608833, 17.52749443, 20.95668602, 21.2069931, 22.43070984, 22.14455795, 20.95668602, 19.67300034, 18.29987717, 18.66036797, 21.73893356, 22.58367538, 20.02425957, 19.11065865, 16.97096062, 18.29987717, 21.2069931, 19.44789696, 19.44789696, 14.97896194, 22.14455795, 23.24478531, 24.13765717]"
51,"[19.44789696, 19.67300034, 19.44789696, 17.52749443, 18.66036797, 20.60757637, 23.24478531, 23.07037735, 23.41802979, 21.48709679, 18.29987717, 19.11065865, 24.55884552, 25.01317978, 20.60757637, 19.44789696, 15.49854279, 21.2069931, 21.48709679, 19.67300034, 20.02425957, 14.97896194, 23.57733917, 23.94645309, 24.55884552]"
52,"[20.02425957, 19.11065865, 20.60757637, 96.00675964, 19.44789696, 16.97096062, 23.41802979, 25.38095856, 23.41802979, 19.11065865, 20.60757637, 21.73893356, 24.34340096, 23.75177002, 19.44789696, 19.67300034, 16.65029907, 21.48709679, 20.38032913, 17.92608833, 21.2069931, 17.52749443, 23.75177002, 25.25800705, 25.25800705]"
53,"[22.43070984, 19.67300034, 21.99962807, 96.00675964, 8.00335217, 18.29987717, 24.7900753, 23.57733917, 25.01317978, 19.67300034, 19.67300034, 24.7900753, 22.43070984, 23.57733917, 21.48709679, 20.60757637, 16.65029907, 21.2069931, 19.44789696, 20.38032913, 20.95668602, 17.52749443, 26.26525879, 24.13765717, 25.50391197]"
54,"[23.07037735, 20.38032913, 20.38032913, 18.66036797, 19.44789696, 19.44789696, 24.67446136, 24.34340096, 26.54685211, 20.95668602, 20.60757637, 24.55884552, 20.95668602, 21.99962807, 21.48709679, 19.11065865, 18.29987717, 21.2069931, 21.73893356, 20.60757637, 20.38032913, 14.36518764, 25.50391197, 24.67446136, 23.94645309]"
55,"[19.11065865, 18.29987717, 17.52749443, 16.65029907, 18.66036797, 18.29987717, 23.07037735, 23.57733917, 23.75177002, 23.75177002, 22.14455795, 24.55884552, 21.99962807, 20.60757637, 20.95668602, 16.65029907, 15.49854279, 20.60757637, 20.02425957, 20.95668602, 19.11065865, 14.36518764, 15.49854279, 23.41802979, 24.67446136]"
56,"[18.66036797, 19.44789696, 18.29987717, 19.11065865, 17.92608833, 14.97896194, 20.60757637, 19.11065865, 21.48709679, 23.07037735, 20.02425957, 24.67446136, 8.00335217, 8.00335217, 17.52749443, 18.29987717, 11.90395355, 19.11065865, 17.92608833, 18.66036797, 17.92608833, 14.36518764, 39.4106102, 19.11065865, 23.24478531]"
57,"[19.44789696, 20.60757637, 17.52749443, 19.11065865, 19.11065865, 19.11065865, 21.2069931, 18.66036797, 21.73893356, 21.2069931, 16.97096062, 23.07037735, 22.43070984, 9.93627071, 17.52749443, 19.11065865, 11.57021236, 16.97096062, 19.44789696, 18.29987717, 17.52749443, 16.13122177, 17.52749443, 19.11065865, 21.48709679]"
58,"[19.11065865, 18.66036797, 19.44789696, 19.44789696, 18.66036797, 14.36518764, 20.60757637, 19.11065865, 21.73893356, 20.02425957, 18.66036797, 8.00335217, 21.2069931, 24.34340096, 8.96981144, 13.60912609, 11.90395355, 18.29987717, 19.11065865, 18.66036797, 16.65029907, 14.36518764, 21.48709679, 18.66036797, 21.73893356]"
59,"[19.44789696, 18.29987717, 18.29987717, 20.02425957, 19.44789696, 16.65029907, 20.60757637, 18.29987717, 20.60757637, 19.67300034, 17.52749443, 16.13122177, 19.44789696, 22.14455795, 8.00335217, 21.99962807, 16.97096062, 19.67300034, 20.95668602, 19.11065865, 19.11065865, 16.13122177, 21.48709679, 19.11065865, 21.99962807]"
60,"[19.44789696, 17.92608833, 17.52749443, 20.02425957, 21.48709679, 19.11065865, 21.99962807, 18.66036797, 20.02425957, 19.44789696, 17.52749443, 22.58367538, 19.11065865, 23.07037735, 8.00335217, 21.48709679, 20.02425957, 21.48709679, 24.34340096, 18.66036797, 23.07037735, 15.49854279, 20.38032913, 18.66036797, 22.58367538]"
61,"[19.44789696, 19.67300034, 18.29987717, 19.11065865, 21.99962807, 20.60757637, 18.29987717, 20.02425957, 20.02425957, 20.95668602, 18.29987717, 21.73893356, 19.11065865, 22.58367538, 17.92608833, 21.2069931, 20.60757637, 20.95668602, 26.02120972, 21.2069931, 24.55884552, 18.66036797, 20.95668602, 21.2069931, 19.67300034]"
62,"[19.67300034, 20.38032913, 20.38032913, 20.02425957, 21.2069931, 17.52749443, 20.60757637, 20.95668602, 21.2069931, 20.60757637, 20.02425957, 20.95668602, 18.66036797, 20.95668602, 20.60757637, 19.67300034, 17.92608833, 21.2069931, 22.14455795, 20.95668602, 24.67446136, 18.66036797, 23.75177002, 22.7505455, 21.2069931]"
63,"[19.44789696, 19.44789696, 19.11065865, 18.66036797, 20.95668602, 20.02425957, 21.73893356, 20.38032913, 20.95668602, 20.60757637, 22.14455795, 22.7505455, 20.60757637, 21.48709679, 19.44789696, 19.11065865, 96.00675964, 20.38032913, 20.60757637, 20.02425957, 22.14455795, 18.29987717, 21.2069931, 22.14455795, 21.99962807]"
64,"[20.60757637, 20.60757637, 19.67300034, 18.66036797, 21.48709679, 20.38032913, 20.60757637, 96.00675964, 22.14455795, 21.48709679, 22.43070984, 22.58367538, 19.67300034, 23.07037735, 19.67300034, 19.44789696, 17.52749443, 22.43070984, 21.73893356, 21.73893356, 25.01317978, 18.29987717, 21.73893356, 21.73893356, 24.34340096]"
65,"[20.60757637, 20.95668602, 19.67300034, 18.66036797, 22.14455795, 22.14455795, 20.38032913, 22.58367538, 24.13765717, 20.38032913, 20.60757637, 21.73893356, 19.44789696, 22.14455795, 20.60757637, 20.60757637, 21.2069931, 21.48709679, 21.2069931, 20.60757637, 23.57733917, 20.60757637, 21.73893356, 22.43070984, 26.26525879]"
66,"[20.95668602, 20.02425957, 19.67300034, 20.95668602, 22.14455795, 23.41802979, 23.24478531, 24.67446136, 25.01317978, 21.73893356, 21.2069931, 21.73893356, 21.73893356, 22.7505455, 21.48709679, 21.48709679, 21.48709679, 20.02425957, 23.07037735, 21.48709679, 22.7505455, 20.38032913, 23.41802979, 22.58367538, 26.40605736]"
67,"[21.73893356, 20.60757637, 21.2069931, 20.38032913, 21.48709679, 23.07037735, 25.38095856, 23.75177002, 25.01317978, 21.73893356, 21.48709679, 21.99962807, 21.48709679, 22.43070984, 21.48709679, 21.73893356, 22.43070984, 19.11065865, 23.57733917, 21.2069931, 21.73893356, 22.14455795, 24.67446136, 23.24478531, 25.50391197]"
68,"[22.43070984, 21.48709679, 23.41802979, 20.60757637, 21.2069931, 21.99962807, 25.38095856, 23.41802979, 24.34340096, 22.58367538, 19.67300034, 21.99962807, 20.95668602, 22.58367538, 22.58367538, 22.43070984, 18.66036797, 19.44789696, 23.57733917, 21.73893356, 21.48709679, 22.14455795, 26.69286537, 22.43070984, 25.38095856]"
69,"[22.14455795, 22.14455795, 23.94645309, 20.02425957, 21.73893356, 23.07037735, 25.38095856, 22.7505455, 23.94645309, 22.58367538, 22.14455795, 21.99962807, 21.99962807, 22.14455795, 22.58367538, 21.99962807, 21.48709679, 19.11065865, 24.55884552, 21.48709679, 21.99962807, 19.67300034, 25.50391197, 23.07037735, 24.13765717]"
70,"[21.73893356, 22.14455795, 23.57733917, 19.44789696, 22.43070984, 22.58367538, 25.25800705, 23.07037735, 23.07037735, 23.07037735, 20.60757637, 22.43070984, 21.2069931, 23.24478531, 23.75177002, 22.43070984, 21.73893356, 19.67300034, 24.67446136, 22.14455795, 22.14455795, 19.67300034, 25.25800705, 23.75177002, 23.24478531]"
71,"[21.48709679, 21.73893356, 22.14455795, 20.02425957, 22.58367538, 22.58367538, 23.94645309, 21.73893356, 23.41802979, 22.43070984, 20.02425957, 21.99962807, 21.99962807, 22.58367538, 23.57733917, 22.7505455, 23.24478531, 18.66036797, 24.7900753, 21.99962807, 22.43070984, 23.07037735, 23.24478531, 23.07037735, 22.7505455]"
72,"[22.14455795, 21.99962807, 23.07037735, 20.02425957, 21.99962807, 23.07037735, 23.94645309, 23.24478531, 23.75177002, 22.58367538, 21.2069931, 22.43070984, 22.58367538, 23.07037735, 24.34340096, 23.07037735, 22.7505455, 19.44789696, 24.7900753, 23.57733917, 22.7505455, 20.95668602, 24.55884552, 23.57733917, 22.58367538]"
73,"[21.99962807, 22.43070984, 22.58367538, 20.38032913, 22.14455795, 23.24478531, 23.57733917, 22.14455795, 23.57733917, 22.58367538, 20.60757637, 23.24478531, 23.07037735, 23.57733917, 23.41802979, 23.07037735, 21.73893356, 20.95668602, 24.34340096, 23.94645309, 23.94645309, 20.38032913, 23.75177002, 22.58367538, 23.07037735]"
74,"[21.73893356, 23.41802979, 23.57733917, 18.29987717, 23.24478531, 23.07037735, 23.94645309, 22.43070984, 23.41802979, 23.75177002, 22.7505455, 22.7505455, 23.94645309, 24.67446136, 23.57733917, 23.41802979, 22.43070984, 21.48709679, 24.55884552, 24.13765717, 24.13765717, 21.48709679, 23.94645309, 23.75177002, 23.94645309]"
75,"[21.99962807, 22.7505455, 22.43070984, 21.2069931, 25.25800705, 24.55884552, 23.94645309, 22.58367538, 25.25800705, 23.24478531, 22.58367538, 24.34340096, 25.38095856, 24.13765717, 26.40605736, 26.14323425, 23.07037735, 22.14455795, 24.67446136, 24.55884552, 25.38095856, 22.43070984, 23.41802979, 23.41802979, 24.13765717]"
76,"[24.67446136, 26.02120972, 24.67446136, 24.34340096, 25.38095856, 24.67446136, 25.75421715, 25.38095856, 27.70451736, 25.38095856, 22.14455795, 26.14323425, 25.01317978, 26.69286537, 26.26525879, 25.50391197, 24.67446136, 25.01317978, 27.18327141, 26.40605736, 25.01317978, 22.7505455, 28.29899406, 26.14323425, 48.88942719]"
